Species,a_FishBase,b_FishBase,Trophic_level,Trophic_level_se,Diet_MB19,Diet_MB18,Diet_BEE20,Broad_diet,Notes
Corythoichthys flavofasciatus,0.00036,3.18,3.8,0.5,NA,NA,NA,InvMob,"*no diet info at all on fishbase (max size - 12 cm), so checked all species in this genus. For Corythoichthys haematopterus (max size = 19.8): 3.8 ±0.5,  Corythoichthys intestinalis (max size = 16 cm): 3.2 ±0.2,Corythoichthys schultzi (max 16) : 3.8 ±0.5. Corythoichthys amplexus(max 10 cm):3.8 ±0.5 se"
Crenimugil crenilabis,0.01585,2.96,2.3,0.1,NA,NA,NA,Omnivr,
Ctenochaetus striatus,0.02344,2.97,2,0,HerDet,Herbivore-detritivore,HerDet,HerDet,
Dascyllus aruanus,0.02239,2.95,3.3,0.4,NA,Planktivore,Plktiv,Plktiv,
Epinephelus merra,0.01175,3.04,3.8,0,InvMob,Fish-cephalopod feeder,FisCep,FisCep,
Gnathodentex aureolineatus,0.01622,3.01,3.7,0.6,NA,NA,NA,InvMob,
Gomphosus varius,0.00631,2.97,3.7,0,InvMob,NA,NA,InvMob,
Halichoeres hortulanus,0.00933,3.09,3.4,0.4,InvMob,Mobile invertebrate feeder,InvMob,InvMob,
Halichoeres trimaculatus,0.01023,3,3.5,0.5,InvMob,NA,NA,InvMob,
Hipposcarus longiceps,0.01175,3.03,2,0.1,HerDet,Herbivore-detritivore,NA,HerDet,
Kyphosus vaigiensis,0.0182,3,2,0,NA,NA,NA,Omnivr,
Labroides bicolor,0.00501,3.15,4,0.7,NA,NA,InvMob,InvMob,
Labroides dimidiatus,0.00589,3.17,3.5,0.4,InvMob,NA,InvMob,InvMob,
Leptoscarus vaigiensis,0.00871,3.01,2,0,NA,NA,NA,HerMac,
Lutjanus fulvus,0.01514,2.98,3.6,0.5,NA,NA,NA,InvMob,
Lutjanus monostigma,0.01445,2.95,4.3,0.7,FisCep,Fish-cephalopod feeder,FisCep,FisCep,
Monotaxis grandoculis,0.02188,2.95,3.4,0,InvMob,NA,InvMob,InvMob,
Myripristis berndti,0.01995,3.01,3.7,0.6,NA,NA,NA,Plktiv,
Naso lituratus,0.02455,2.97,2.3,0.2,HerMac,Herbivore-macroalgae feeder,HerMac,HerMac,
Ostorhinchus nigrofasciatus,0.00794,3.34,3.6,0.4,InvMob,NA,NA,InvMob,
Ostracion cubicum,0.05248,2.76,3.4,0.5,NA,NA,NA,InvMob,
Parapercis millepunctata,0.00692,3.06,3.5,0.5,NA,NA,InvMob,InvMob,
Scaridae sp,0.01259,3.03,2.6,0.3,NA,NA,NA,HerDet,"*Used a, b from C. spilurus because most of these are striped juveniles and most likely to be that species. Same for trophic level (although could make an argument to use 2 because all scarus TL = 2) "
Parupeneus barberinus,0.01148,3.09,3.4,0.4,InvMob,Mobile invertebrate feeder,InvMob,InvMob,
Parupeneus cyclostomus,0.0123,3.09,4.2,0.6,FisCep,NA,FisCep,FisCep,
Parupeneus multifasciatus,0.01288,3.1,3.5,0.3,InvMob,Mobile invertebrate feeder,NA,InvMob,
Platybelone platyura,0.00112,3.05,4.2,0.7,NA,NA,NA,FisCep,"Originally called ""Platybelune argalus platyura"" but recent taxonomy changes (and a, b same for both species). From FishBase: ""The subspecies platura from the Red Sea to Persian Gulf, platyura in the rest of the Indo-Pacific, and argalus in the tropical Atlantic"""
Pomacentrus pavo,0.02089,2.93,3,0.2,NA,NA,NA,Plktiv,
Pseudocheilinus hexataenia,0.01622,2.96,3.2,0,InvMob,NA,InvMob,InvMob,
Rhinecanthus aculeatus,0.01905,2.92,3.2,0.1,InvMob,Mobile invertebrate feeder,NA,InvMob,
Sargocentron diadema,0.01622,2.98,3.4,0.2,NA,Mobile invertebrate feeder,NA,InvMob,
Sargocentron spiniferum,0.0166,2.98,3.6,0.4,InvMob,NA,InvMob,InvMob,
Scarus altipinnis,0.01445,3.03,2,0,HerDet,Herbivore-detritivore,NA,HerDet,
Scarus frenatus,0.01738,3.07,2,0,HerDet,Herbivore-detritivore,HerDet,HerDet,
Scarus oviceps,0.01072,3.13,2,0,HerDet,NA,NA,HerDet,
Scarus psittacus,0.01549,3.04,2,0,HerDet,Herbivore-detritivore,HerDet,HerDet,
Stegastes albifasciatus,0.01995,2.99,2,0,NA,NA,NA,HerDet,
Stegastes nigricans,0.02399,3.03,2.2,0,Omnivr,Herbivore-detritivore,Omnivr,Omnivr,
Stethojulis bandanensis,0.01,3,3.2,0.2,InvMob,NA,NA,InvMob,
Thalassoma amblycephalum,0.00912,3.07,3.1,0.2,Plktiv,NA,Plktiv,Plktiv,
Thalassoma hardwicke,0.00955,3.05,3.5,0.4,InvMob,Mobile invertebrate feeder,InvMob,InvMob,
Thalassoma purpureum,0.00955,3.06,3.8,0,NA,NA,InvMob,InvMob,
Valenciennea strigata,0.01023,3.02,4,0.6,Omnivr,NA,NA,Omnivr,
Zanclus cornutus,0.01738,3.06,2.5,0,InvSes,NA,InvSes,InvSes,
Zebrasoma scopas,0.02455,2.98,2,0,HerDet,Herbivore-detritivore,HerDet,HerDet,
Zebrasoma velifer,0.02512,2.93,2,0,HerDet,Herbivore-detritivore,NA,HerDet,
